;;;2.5;15.0
;;;3.0;25.0
;;;15.0;42.0
;;;55.0;65.0
;;;54.0;66.0
;;;3.0;18.0
;;;32.0;63.0
;;;9.5;40.0
;;;12.5;38.0
;;;25.0;53.0
;;;40.0;65.0
;;;6.0;25.0
;;;27.0;55.0
;;;12.0;36.0
;;;6.0;27.0
;;;12.0;38.0
;;;15.0;42.0
;;;32.0;63.0
;;;55.0;72.0
;;;40.0;60.0
;;;15.0;44.0
;;;3.0;20.0
;;;17.0;45.0
;;;25.0;53.0
;;;14.0;47.0
;;;4.0;18.0
;;;0.5;20.0
;;;55.0;65.0
;;;24.0;54.0
;;;12.0;36.0
;;;35.0;64.0
;;;25.0;53.0
;;;40.0;65.0
;;;15.0;47.0
;;;1.0;25.0
;;;1.0;24.0
;;;12.0;33.0
;;;76.0;70.0
;;;12.5;38.0
;;;40.0;65.0
;;;12.0;36.0
;;;14.0;45.0
;;;15.0;44.0
;;;55.0;72.0
;;;3.0;20.0
;;;3.0;20.0
;;;2.5;15.0
;;;40.0;60.0
;;;10.0;36.0
;;;39.0;64.0
;;;24.0;54.0
;;;58.0;66.0
;;;2.5;25.0
;;;25.0;53.0
;;;4.0;18.0
;;;32.0;63.0
;;;3.0;20.0
;;;12.0;33.0
;;;15.0;47.0
;;;56.0;66.0
;;;18.0;51.0
;;;55.0;72.0
;;;50.0;72.0
;;;14.0;45.0
;;;32.0;64.0
;;;12.5;38.0
;;;55.0;72.0
;;;40.0;65.0
;;;40.0;60.0
;;;15.0;47.0
;;;36.0;55.0
;;;66.0;65.0
;;;12.0;35.0
;;;6.0;25.0
;;;3.0;16.0
;;;15.0;42.0
;;;55.0;75.0
;;;1.0;18.0
;;;15.0;49.0
;;;12.5;38.0
;;;30.0;58.0
;;;63.0;65.0
;;;54.0;66.0
;;;2.0;25.0
;;;1.0;16.0
;;;55.0;73.0
;;;15.0;47.0
;;;6.0;25.0
;;;25.0;53.0
;;;12.0;35.0
;;;55.0;72.0
;;;2.5;22.0
;;;60.0;65.0
;;;4.0;20.0
;;;12.0;33.0
;;;9.5;40.0
;;;5.0;24.0
;;;50.0;72.0
;;;3.0;25.0
;;;1.0;16.0
;;;55.0;65.0
;;;2.0;25.0
;;;25.0;53.0
;;;2.5;15.0
;;;22.0;63.0
;;;23.0;38.0
;;;14.0;46.0
;;;9.5;40.0
;;;18.0;51.0
;;;15.0;45.0
;;;10.0;36.0
;;;24.0;54.0
;;;18.0;51.0
;;;32.0;63.0
;;;5.0;18.0
;;;54.0;69.0
;;;6.0;26.0
;;;40.0;60.0
;;;2.0;7.3
;;;15.0;44.0
;;;20.0;47.0
;;;49.0;58.0
;;;10.0;36.0
;;;25.0;60.0
;;;54.0;66.0
;;;2.0;25.0
;;;32.0;63.0
;;;50.0;72.0
;;;43.0;63.0
;;;5.0;18.0
;;;15.0;35.0
;;;1.0;29.0
;;;54.0;66.0
;;;6.0;25.0
;;;12.5;38.0
;;;8.0;33.0
;;;1.0;18.0
;;;16.0;47.0
;;;3.0;25.0
;;;3.0;18.0
;;;3.0;21.0
;;;4.0;18.0
;;;9.5;40.0
;;;50.0;72.0
;;;12.0;36.0
;;;3.0;16.0
;;;3.0;20.0
;;;0.5;16.0
;;;35.0;64.0
;;;25.0;61.0
;;;3.0;25.0
;;;12.0;36.0
;;;3.0;20.0
;;;1.0;12.0
;;;24.0;54.0
;;;24.0;54.0
;;;3.0;18.0
;;;9.5;40.0
;;;35.0;58.0
;;;14.0;45.0
;;;25.0;60.0
;;;6.0;25.0
;;;30.0;58.0
;;;9.5;40.0
;;;2.0;18.0
;;;4.0;18.0
;;;10.0;40.0
;;;82.0;65.0
;;;3.0;21.0
;;;24.0;54.0
;;;3.0;16.0
;;;40.0;60.0
;;;26.0;58.0
;;;15.0;47.0
;;;3.0;20.0
;;;8.0;33.0
;;;40.0;60.0
;;;24.0;61.0
;;;12.0;35.0
;;;15.0;44.0
;;;3.0;22.0
;;;14.0;45.0
;;;3.0;7.3
;;;23.0;35.0
;;;23.0;38.0
;;;40.0;60.0
;;;1.0;22.0
;;;30.0;58.0
;;;2.0;25.0
;;;8.0;33.0
;;;27.0;53.0
;;;55.0;65.0
;;;32.0;63.0
;;;18.0;42.0
;;;2.5;15.0
;;;24.0;54.0
;;;55.0;77.0
;;;4.0;18.0
;;;8.0;33.0
;;;15.0;42.0
;;;1.0;25.0
;;;32.0;63.0
;;;4.0;18.0
;;;40.0;60.0
;;;15.0;44.0
;;;2.0;16.0
;;;20.0;42.0
;;;32.0;63.0
;;;22.0;55.0
;;;18.0;57.0
;;;34.0;63.0
;;;2.5;21.0
;;;35.0;64.0
;;;40.0;60.0
;;;28.0;53.0
;;;19.0;47.0
;;;23.0;35.0
;;;14.0;45.0
;;;54.0;66.0
;;;32.0;63.0
;;;9.5;43.0
;;;1.0;18.0
;;;12.5;38.0
;;;18.0;47.0
;;;9.5;40.0
;;;2.5;25.0
;;;42.0;60.0
;;;25.0;54.0
;;;35.0;64.0
;;;14.0;35.0
;;;2.0;18.0
;;;44.0;62.0
;;;25.0;53.0
;;;14.0;45.0
;;;6.0;25.0
;;;1.0;20.0
;;;1.0;21.0
;;;3.0;25.0
;;;16.0;42.0
;;;12.5;38.0
;;;4.0;19.0
;;;54.0;66.0
;;;45.0;63.0
;;;6.0;25.0
;;;55.0;72.0
;;;20.0;42.0
;;;15.0;47.0
;;;3.0;25.0
;;;12.5;40.0
;;;1.0;18.0
;;;55.0;65.0
;;;2.0;18.0
;;;6.0;18.0
;;;15.0;42.0
;;;23.0;35.0
;;;50.0;72.0
;;;12.0;33.0
;;;35.0;64.0
;;;40.0;65.0
;;;55.0;72.0
;;;14.0;38.0
;;;10.0;36.0
;;;70.0;65.0
;;;1.0;16.0
;;;30.0;58.0
;;;15.0;47.0
;;;59.0;72.0
;;;25.0;53.0
;;;14.0;45.0
;;;15.0;47.0
;;;11.0;33.0
;;;6.0;25.0
;;;35.0;64.0
;;;10.0;40.0
;;;9.5;40.0
;;;40.0;65.0
;;;10.0;36.0
;;;2.5;15.0
;;;21.0;51.0
;;;1.0;18.0
;;;2.0;24.0
;;;24.0;54.0
;;;50.0;72.0
;;;2.5;25.0
;;;50.0;58.0
;;;6.0;18.0
;;;18.0;51.0
;;;16.0;42.0
;;;3.0;20.0
;;;65.0;66.0
;;;3.0;25.0
;;;40.0;60.0
;;;2.5;25.0
;;;8.0;33.0
;;;15.0;42.0
;;;2.0;16.0
;;;2.0;18.0
;;;4.0;21.0
;;;2.0;20.0
;;;50.0;64.0
;;;0.5;16.0
;;;1.0;18.0
;;;19.0;45.0
;;;12.5;38.0
;;;54.0;66.0
;;;40.0;60.0
;;;40.0;60.0
;;;2.0;16.0
;;;4.0;18.0
;;;15.0;42.0
;;;1.0;18.0
;;;40.0;60.0
;;;1.0;18.0
;;;3.0;25.0
;;;14.0;50.0
;;;55.0;65.0
;;;33.0;58.0
;;;10.0;36.0
;;;3.0;15.0
;;;40.0;69.0
;;;12.5;38.0
;;;2.0;20.0
;;;23.0;36.0
;;;24.0;54.0
;;;24.0;54.0
;;;5.0;24.0
;;;62.0;65.0
;;;39.0;58.0
;;;32.0;63.0
;;;2.5;25.0
;;;50.0;65.0
;;;55.0;65.0
;;;18.0;44.0
;;;2.0;16.0
;;;3.0;25.0
